Level ID,Category,Sort Order,Title,Description,Item Count,Items (Display),Items (Correct Order),Hint,Fact
20,Basic Numbers,Descending ↓,"Level 20","Sort 14 numbers DESC",14,"29 | 118 | 125 | 81 | 143 | 174 | 66 | 31 | 35 | 40 | 65 | 178 | 54 | 156","178 → 174 → 156 → 143 → 125 → 118 → 81 → 66 → 65 → 54 → 40 → 35 → 31 → 29","",""
21,Basic Numbers,Descending ↓,"Level 21","Sort 14 numbers DESC",14,"86 | 83 | 190 | 79 | 152 | 55 | 132 | 88 | 99 | 163 | 77 | 196 | 133 | 28","196 → 190 → 163 → 152 → 133 → 132 → 99 → 88 → 86 → 83 → 79 → 77 → 55 → 28","",""
22,Basic Numbers,Ascending ↑,"Level 22","Sort 14 numbers ASC",14,"178 | 63 | 94 | 76 | 186 | 153 | 44 | 17 | 209 | 141 | 8 | 196 | 120 | 28","8 → 17 → 28 → 44 → 63 → 76 → 94 → 120 → 141 → 153 → 178 → 186 → 196 → 209","",""
23,Basic Numbers,Ascending ↑,"Level 23","Sort 15 numbers ASC",15,"176 | 7 | 58 | 78 | 72 | 125 | 169 | 6 | 73 | 24 | 26 | 166 | 44 | 183 | 66","6 → 7 → 24 → 26 → 44 → 58 → 66 → 72 → 73 → 78 → 125 → 166 → 169 → 176 → 183","",""
24,Basic Numbers,Descending ↓,"Level 24","Sort 15 numbers DESC",15,"112 | 180 | 189 | 16 | 133 | 61 | 140 | 161 | 112 | 212 | 44 | 155 | 117 | 82 | 211","212 → 211 → 189 → 180 → 161 → 155 → 140 → 133 → 117 → 112 → 112 → 82 → 61 → 44 → 16","",""
25,Basic Numbers,Ascending ↑,"Level 25","Sort 15 numbers ASC",15,"169 | 165 | 210 | 148 | 208 | 104 | 60 | 158 | 137 | 3 | 163 | 117 | 156 | 109 | 5","3 → 5 → 60 → 104 → 109 → 117 → 137 → 148 → 156 → 158 → 163 → 165 → 169 → 208 → 210","",""
26,Basic Numbers,Descending ↓,"Level 26","Sort 16 numbers DESC",16,"5 | 122 | 179 | 227 | 9 | 37 | 218 | 177 | 99 | 170 | 229 | 106 | 136 | 41 | 78 | 162","229 → 227 → 218 → 179 → 177 → 170 → 162 → 136 → 122 → 106 → 99 → 78 → 41 → 37 → 9 → 5","",""
27,Basic Numbers,Descending ↓,"Level 27","Sort 16 numbers DESC",16,"84 | 85 | 199 | 116 | 104 | 176 | 3 | 126 | 100 | 221 | 25 | 36 | 61 | 39 | 84 | 190","221 → 199 → 190 → 176 → 126 → 116 → 104 → 100 → 85 → 84 → 84 → 61 → 39 → 36 → 25 → 3","",""
28,Basic Numbers,Ascending ↑,"Level 28","Sort 16 numbers ASC",16,"88 | 163 | 201 | 2 | 169 | 62 | 126 | 101 | 131 | 193 | 153 | 126 | 155 | 115 | 21 | 23","2 → 21 → 23 → 62 → 88 → 101 → 115 → 126 → 126 → 131 → 153 → 155 → 163 → 169 → 193 → 201","",""
29,Basic Numbers,Descending ↓,"Level 29","Sort 17 numbers DESC",17,"13 | 222 | 241 | 162 | 192 | 175 | 101 | 38 | 156 | 193 | 96 | 120 | 106 | 105 | 239 | 155 | 212","241 → 239 → 222 → 212 → 193 → 192 → 175 → 162 → 156 → 155 → 120 → 106 → 105 → 101 → 96 → 38 → 13","",""
30,Basic Numbers,Ascending ↑,"Level 30","Sort 17 numbers ASC",17,"172 | 234 | 155 | 49 | 243 | 90 | 169 | 235 | 27 | 115 | 85 | 157 | 149 | 13 | 200 | 27 | 104","13 → 27 → 27 → 49 → 85 → 90 → 104 → 115 → 149 → 155 → 157 → 169 → 172 → 200 → 234 → 235 → 243","",""
31,Basic Numbers,Descending ↓,"Level 31","Sort 17 numbers DESC",17,"172 | 31 | 123 | 81 | 91 | 204 | 28 | 246 | 58 | 223 | 177 | 206 | 221 | 70 | 115 | 188 | 38","246 → 223 → 221 → 206 → 204 → 188 → 177 → 172 → 123 → 115 → 91 → 81 → 70 → 58 → 38 → 31 → 28","",""
32,Basic Numbers,Descending ↓,"Level 32","Sort 18 numbers DESC",18,"2 | 241 | 125 | 182 | 212 | 205 | 206 | 54 | 130 | 127 | 143 | 147 | 180 | 42 | 221 | 63 | 57 | 20","241 → 221 → 212 → 206 → 205 → 182 → 180 → 147 → 143 → 130 → 127 → 125 → 63 → 57 → 54 → 42 → 20 → 2","",""
33,Basic Numbers,Ascending ↑,"Level 33","Sort 18 numbers ASC",18,"46 | 120 | 57 | 162 | 51 | 72 | 257 | 197 | 220 | 25 | 161 | 77 | 253 | 186 | 14 | 18 | 263 | 212","14 → 18 → 25 → 46 → 51 → 57 → 72 → 77 → 120 → 161 → 162 → 186 → 197 → 212 → 220 → 253 → 257 → 263","",""
34,Basic Numbers,Descending ↓,"Level 34","Sort 18 numbers DESC",18,"151 | 162 | 46 | 151 | 249 | 182 | 19 | 58 | 128 | 3 | 270 | 17 | 223 | 76 | 235 | 249 | 216 | 164","270 → 249 → 249 → 235 → 223 → 216 → 182 → 164 → 162 → 151 → 151 → 128 → 76 → 58 → 46 → 19 → 17 → 3","",""
35,Basic Numbers,Ascending ↑,"Level 35","Sort 19 numbers ASC",19,"217 | 156 | 185 | 44 | 49 | 194 | 209 | 149 | 77 | 208 | 65 | 130 | 14 | 28 | 133 | 241 | 43 | 94 | 4","4 → 14 → 28 → 43 → 44 → 49 → 65 → 77 → 94 → 130 → 133 → 149 → 156 → 185 → 194 → 208 → 209 → 217 → 241","",""
36,Basic Numbers,Ascending ↑,"Level 36","Sort 19 numbers ASC",19,"198 | 31 | 78 | 97 | 162 | 15 | 166 | 275 | 157 | 122 | 267 | 104 | 108 | 198 | 217 | 201 | 8 | 253 | 159","8 → 15 → 31 → 78 → 97 → 104 → 108 → 122 → 157 → 159 → 162 → 166 → 198 → 198 → 201 → 217 → 253 → 267 → 275","",""
37,Basic Numbers,Ascending ↑,"Level 37","Sort 19 numbers ASC",19,"225 | 174 | 195 | 271 | 178 | 108 | 64 | 205 | 191 | 17 | 61 | 113 | 109 | 132 | 107 | 220 | 4 | 255 | 38","4 → 17 → 38 → 61 → 64 → 107 → 108 → 109 → 113 → 132 → 174 → 178 → 191 → 195 → 205 → 220 → 225 → 255 → 271","",""
38,Basic Numbers,Descending ↓,"Level 38","Sort 20 numbers DESC",20,"188 | 233 | 23 | 150 | 210 | 259 | 145 | 166 | 64 | 134 | 15 | 101 | 106 | 8 | 262 | 63 | 82 | 62 | 108 | 217","262 → 259 → 233 → 217 → 210 → 188 → 166 → 150 → 145 → 134 → 108 → 106 → 101 → 82 → 64 → 63 → 62 → 23 → 15 → 8","",""
39,Basic Numbers,Ascending ↑,"Level 39","Sort 20 numbers ASC",20,"154 | 17 | 267 | 244 | 34 | 134 | 191 | 194 | 269 | 147 | 295 | 275 | 45 | 203 | 200 | 270 | 44 | 48 | 112 | 158","17 → 34 → 44 → 45 → 48 → 112 → 134 → 147 → 154 → 158 → 191 → 194 → 200 → 203 → 244 → 267 → 269 → 270 → 275 → 295","",""
40,Basic Numbers,Descending ↓,"Level 40","Sort 20 numbers DESC",20,"70 | 203 | 238 | 268 | 43 | 121 | 40 | 142 | 267 | 287 | 282 | 220 | 226 | 3 | 131 | 188 | 268 | 251 | 100 | 93","287 → 282 → 268 → 268 → 267 → 251 → 238 → 226 → 220 → 203 → 188 → 142 → 131 → 121 → 100 → 93 → 70 → 43 → 40 → 3","",""
41,Basic Numbers,Ascending ↑,"Level 41","Sort 20 numbers ASC",20,"229 | 108 | 177 | 119 | 189 | 291 | 266 | 105 | 208 | 23 | 266 | 33 | 12 | 208 | 149 | 217 | 100 | 203 | 251 | 148","12 → 23 → 33 → 100 → 105 → 108 → 119 → 148 → 149 → 177 → 189 → 203 → 208 → 208 → 217 → 229 → 251 → 266 → 266 → 291","",""
42,Basic Numbers,Ascending ↑,"Level 42","Sort 21 numbers ASC",21,"175 | 69 | 280 | 275 | 157 | 302 | 179 | 266 | 35 | 189 | 189 | 169 | 127 | 243 | 83 | 152 | 160 | 307 | 163 | 114 | 231","35 → 69 → 83 → 114 → 127 → 152 → 157 → 160 → 163 → 169 → 175 → 179 → 189 → 189 → 231 → 243 → 266 → 275 → 280 → 302 → 307","",""
43,Basic Numbers,Descending ↓,"Level 43","Sort 21 numbers DESC",21,"10 | 248 | 145 | 135 | 168 | 254 | 194 | 139 | 131 | 283 | 18 | 66 | 198 | 174 | 133 | 261 | 182 | 314 | 291 | 123 | 135","314 → 291 → 283 → 261 → 254 → 248 → 198 → 194 → 182 → 174 → 168 → 145 → 139 → 135 → 135 → 133 → 131 → 123 → 66 → 18 → 10","",""
44,Basic Numbers,Descending ↓,"Level 44","Sort 21 numbers DESC",21,"208 | 140 | 110 | 315 | 318 | 61 | 233 | 162 | 123 | 264 | 225 | 19 | 97 | 153 | 316 | 54 | 119 | 252 | 130 | 134 | 152","318 → 316 → 315 → 264 → 252 → 233 → 225 → 208 → 162 → 153 → 152 → 140 → 134 → 130 → 123 → 119 → 110 → 97 → 61 → 54 → 19","",""
45,Basic Numbers,Ascending ↑,"Level 45","Sort 21 numbers ASC",21,"88 | 250 | 15 | 223 | 303 | 239 | 129 | 93 | 179 | 132 | 118 | 185 | 257 | 72 | 164 | 24 | 23 | 163 | 70 | 307 | 153","15 → 23 → 24 → 70 → 72 → 88 → 93 → 118 → 129 → 132 → 153 → 163 → 164 → 179 → 185 → 223 → 239 → 250 → 257 → 303 → 307","",""
46,Basic Numbers,Descending ↓,"Level 46","Sort 22 numbers DESC",22,"88 | 134 | 70 | 288 | 122 | 282 | 274 | 79 | 157 | 150 | 295 | 120 | 152 | 270 | 121 | 200 | 32 | 182 | 9 | 272 | 176 | 219","295 → 288 → 282 → 274 → 272 → 270 → 219 → 200 → 182 → 176 → 157 → 152 → 150 → 134 → 122 → 121 → 120 → 88 → 79 → 70 → 32 → 9","",""
47,Basic Numbers,Ascending ↑,"Level 47","Sort 22 numbers ASC",22,"324 | 291 | 259 | 218 | 332 | 70 | 26 | 157 | 138 | 149 | 80 | 48 | 294 | 65 | 323 | 23 | 131 | 7 | 182 | 164 | 150 | 68","7 → 23 → 26 → 48 → 65 → 68 → 70 → 80 → 131 → 138 → 149 → 150 → 157 → 164 → 182 → 218 → 259 → 291 → 294 → 323 → 324 → 332","",""
48,Basic Numbers,Descending ↓,"Level 48","Sort 22 numbers DESC",22,"208 | 270 | 188 | 295 | 20 | 164 | 196 | 327 | 18 | 75 | 271 | 108 | 269 | 313 | 274 | 243 | 277 | 94 | 300 | 148 | 143 | 165","327 → 313 → 300 → 295 → 277 → 274 → 271 → 270 → 269 → 243 → 208 → 196 → 188 → 165 → 164 → 148 → 143 → 108 → 94 → 75 → 20 → 18","",""
49,Basic Numbers,Descending ↓,"Level 49","Sort 22 numbers DESC",22,"342 | 253 | 206 | 146 | 173 | 49 | 26 | 10 | 110 | 39 | 169 | 233 | 267 | 127 | 261 | 47 | 281 | 194 | 46 | 130 | 193 | 147","342 → 281 → 267 → 261 → 253 → 233 → 206 → 194 → 193 → 173 → 169 → 147 → 146 → 130 → 127 → 110 → 49 → 47 → 46 → 39 → 26 → 10","",""
50,Basic Numbers,Descending ↓,"Level 50","Sort 23 numbers DESC",23,"175 | 143 | 158 | 138 | 124 | 216 | 264 | 143 | 157 | 81 | 121 | 93 | 226 | 217 | 157 | 16 | 3 | 37 | 67 | 275 | 239 | 156 | 338","338 → 275 → 264 → 239 → 226 → 217 → 216 → 175 → 158 → 157 → 157 → 156 → 143 → 143 → 138 → 124 → 121 → 93 → 81 → 67 → 37 → 16 → 3","",""
51,Basic Numbers,Ascending ↑,"Level 51","Sort 23 numbers ASC",23,"198 | 63 | 344 | 285 | 86 | 20 | 5 | 322 | 230 | 265 | 320 | 14 | 132 | 290 | 108 | 1 | 117 | 215 | 96 | 152 | 306 | 113 | 224","1 → 5 → 14 → 20 → 63 → 86 → 96 → 108 → 113 → 117 → 132 → 152 → 198 → 215 → 224 → 230 → 265 → 285 → 290 → 306 → 320 → 322 → 344","",""
52,Basic Numbers,Descending ↓,"Level 52","Sort 23 numbers DESC",23,"179 | 123 | 132 | 98 | 350 | 78 | 92 | 186 | 250 | 255 | 264 | 103 | 355 | 96 | 206 | 305 | 22 | 110 | 7 | 38 | 21 | 214 | 78","355 → 350 → 305 → 264 → 255 → 250 → 214 → 206 → 186 → 179 → 132 → 123 → 110 → 103 → 98 → 96 → 92 → 78 → 78 → 38 → 22 → 21 → 7","",""
53,Basic Numbers,Ascending ↑,"Level 53","Sort 23 numbers ASC",23,"140 | 324 | 92 | 337 | 24 | 328 | 178 | 20 | 7 | 150 | 139 | 128 | 65 | 314 | 271 | 188 | 279 | 323 | 365 | 76 | 238 | 313 | 176","7 → 20 → 24 → 65 → 76 → 92 → 128 → 139 → 140 → 150 → 176 → 178 → 188 → 238 → 271 → 279 → 313 → 314 → 323 → 324 → 328 → 337 → 365","",""
54,Basic Numbers,Descending ↓,"Level 54","Sort 24 numbers DESC",24,"114 | 162 | 225 | 17 | 212 | 350 | 250 | 293 | 65 | 188 | 65 | 179 | 337 | 276 | 228 | 93 | 76 | 358 | 262 | 293 | 326 | 190 | 33 | 90","358 → 350 → 337 → 326 → 293 → 293 → 276 → 262 → 250 → 228 → 225 → 212 → 190 → 188 → 179 → 162 → 114 → 93 → 90 → 76 → 65 → 65 → 33 → 17","",""
55,Basic Numbers,Ascending ↑,"Level 55","Sort 24 numbers ASC",24,"168 | 18 | 227 | 230 | 261 | 74 | 180 | 68 | 121 | 53 | 267 | 168 | 111 | 355 | 178 | 194 | 171 | 114 | 328 | 65 | 368 | 364 | 114 | 179","18 → 53 → 65 → 68 → 74 → 111 → 114 → 114 → 121 → 168 → 168 → 171 → 178 → 179 → 180 → 194 → 227 → 230 → 261 → 267 → 328 → 355 → 364 → 368","",""
56,Basic Numbers,Ascending ↑,"Level 56","Sort 24 numbers ASC",24,"176 | 34 | 319 | 88 | 302 | 187 | 89 | 195 | 100 | 300 | 329 | 78 | 208 | 370 | 312 | 331 | 299 | 73 | 207 | 144 | 154 | 29 | 7 | 145","7 → 29 → 34 → 73 → 78 → 88 → 89 → 100 → 144 → 145 → 154 → 176 → 187 → 195 → 207 → 208 → 299 → 300 → 302 → 312 → 319 → 329 → 331 → 370","",""
57,Basic Numbers,Descending ↓,"Level 57","Sort 24 numbers DESC",24,"248 | 211 | 202 | 253 | 1 | 21 | 233 | 150 | 372 | 301 | 162 | 316 | 211 | 1 | 350 | 99 | 119 | 266 | 74 | 99 | 345 | 190 | 369 | 369","372 → 369 → 369 → 350 → 345 → 316 → 301 → 266 → 253 → 248 → 233 → 211 → 211 → 202 → 190 → 162 → 150 → 119 → 99 → 99 → 74 → 21 → 1 → 1","",""
58,Basic Numbers,Ascending ↑,"Level 58","Sort 25 numbers ASC",25,"337 | 386 | 32 | 256 | 37 | 309 | 142 | 21 | 375 | 131 | 260 | 175 | 176 | 119 | 8 | 206 | 60 | 94 | 282 | 106 | 360 | 93 | 363 | 320 | 196","8 → 21 → 32 → 37 → 60 → 93 → 94 → 106 → 119 → 131 → 142 → 175 → 176 → 196 → 206 → 256 → 260 → 282 → 309 → 320 → 337 → 360 → 363 → 375 → 386","",""
59,Basic Numbers,Descending ↓,"Level 59","Sort 25 numbers DESC",25,"286 | 386 | 103 | 100 | 217 | 193 | 290 | 206 | 379 | 94 | 27 | 189 | 113 | 139 | 181 | 44 | 350 | 276 | 311 | 38 | 86 | 116 | 145 | 329 | 272","386 → 379 → 350 → 329 → 311 → 290 → 286 → 276 → 272 → 217 → 206 → 193 → 189 → 181 → 145 → 139 → 116 → 113 → 103 → 100 → 94 → 86 → 44 → 38 → 27","",""
60,Basic Numbers,Ascending ↑,"Level 60","Sort 25 numbers ASC",25,"321 | 209 | 165 | 256 | 385 | 399 | 154 | 105 | 255 | 123 | 53 | 249 | 268 | 205 | 78 | 116 | 266 | 134 | 239 | 247 | 346 | 269 | 268 | 32 | 217","32 → 53 → 78 → 105 → 116 → 123 → 134 → 154 → 165 → 205 → 209 → 217 → 239 → 247 → 249 → 255 → 256 → 266 → 268 → 268 → 269 → 321 → 346 → 385 → 399","",""
61,Basic Numbers,Descending ↓,"Level 61","Sort 25 numbers DESC",25,"15 | 277 | 169 | 313 | 334 | 335 | 242 | 204 | 33 | 62 | 280 | 131 | 109 | 122 | 272 | 347 | 151 | 199 | 32 | 146 | 392 | 22 | 26 | 250 | 386","392 → 386 → 347 → 335 → 334 → 313 → 280 → 277 → 272 → 250 → 242 → 204 → 199 → 169 → 151 → 146 → 131 → 122 → 109 → 62 → 33 → 32 → 26 → 22 → 15","",""
62,Basic Numbers,Descending ↓,"Level 62","Sort 26 numbers DESC",26,"332 | 143 | 375 | 239 | 133 | 396 | 178 | 251 | 58 | 238 | 225 | 345 | 395 | 93 | 25 | 98 | 125 | 131 | 107 | 45 | 410 | 25 | 408 | 143 | 160 | 7","410 → 408 → 396 → 395 → 375 → 345 → 332 → 251 → 239 → 238 → 225 → 178 → 160 → 143 → 143 → 133 → 131 → 125 → 107 → 98 → 93 → 58 → 45 → 25 → 25 → 7","",""
63,Basic Numbers,Ascending ↑,"Level 63","Sort 26 numbers ASC",26,"219 | 285 | 179 | 59 | 401 | 82 | 80 | 173 | 258 | 13 | 308 | 18 | 78 | 336 | 143 | 367 | 332 | 47 | 12 | 204 | 399 | 220 | 239 | 274 | 163 | 85","12 → 13 → 18 → 47 → 59 → 78 → 80 → 82 → 85 → 143 → 163 → 173 → 179 → 204 → 219 → 220 → 239 → 258 → 274 → 285 → 308 → 332 → 336 → 367 → 399 → 401","",""
64,Basic Numbers,Descending ↓,"Level 64","Sort 26 numbers DESC",26,"2 | 301 | 336 | 83 | 291 | 368 | 145 | 285 | 331 | 401 | 65 | 97 | 378 | 331 | 294 | 296 | 182 | 392 | 300 | 295 | 171 | 57 | 43 | 188 | 129 | 204","401 → 392 → 378 → 368 → 336 → 331 → 331 → 301 → 300 → 296 → 295 → 294 → 291 → 285 → 204 → 188 → 182 → 171 → 145 → 129 → 97 → 83 → 65 → 57 → 43 → 2","",""
65,Basic Numbers,Ascending ↑,"Level 65","Sort 26 numbers ASC",26,"220 | 350 | 64 | 287 | 274 | 171 | 309 | 16 | 206 | 364 | 401 | 288 | 96 | 376 | 84 | 335 | 186 | 267 | 223 | 231 | 213 | 125 | 288 | 227 | 168 | 87","16 → 64 → 84 → 87 → 96 → 125 → 168 → 171 → 186 → 206 → 213 → 220 → 223 → 227 → 231 → 267 → 274 → 287 → 288 → 288 → 309 → 335 → 350 → 364 → 376 → 401","",""
66,Basic Numbers,Descending ↓,"Level 66","Sort 27 numbers DESC",27,"234 | 220 | 40 | 155 | 212 | 63 | 333 | 413 | 214 | 377 | 134 | 96 | 205 | 244 | 172 | 57 | 322 | 411 | 339 | 207 | 48 | 27 | 74 | 220 | 302 | 96 | 352","413 → 411 → 377 → 352 → 339 → 333 → 322 → 302 → 244 → 234 → 220 → 220 → 214 → 212 → 207 → 205 → 172 → 155 → 134 → 96 → 96 → 74 → 63 → 57 → 48 → 40 → 27","",""
67,Basic Numbers,Descending ↓,"Level 67","Sort 27 numbers DESC",27,"205 | 280 | 49 | 126 | 217 | 410 | 237 | 273 | 346 | 235 | 409 | 54 | 83 | 106 | 236 | 267 | 381 | 34 | 144 | 89 | 89 | 309 | 238 | 143 | 262 | 299 | 45","410 → 409 → 381 → 346 → 309 → 299 → 280 → 273 → 267 → 262 → 238 → 237 → 236 → 235 → 217 → 205 → 144 → 143 → 126 → 106 → 89 → 89 → 83 → 54 → 49 → 45 → 34","",""
68,Basic Numbers,Descending ↓,"Level 68","Sort 27 numbers DESC",27,"200 | 295 | 136 | 438 | 106 | 337 | 235 | 264 | 333 | 131 | 158 | 185 | 93 | 296 | 400 | 371 | 11 | 373 | 314 | 191 | 331 | 97 | 253 | 388 | 138 | 425 | 343","438 → 425 → 400 → 388 → 373 → 371 → 343 → 337 → 333 → 331 → 314 → 296 → 295 → 264 → 253 → 235 → 200 → 191 → 185 → 158 → 138 → 136 → 131 → 106 → 97 → 93 → 11","",""
69,Basic Numbers,Ascending ↑,"Level 69","Sort 27 numbers ASC",27,"202 | 230 | 14 | 132 | 297 | 90 | 422 | 209 | 327 | 159 | 115 | 193 | 344 | 257 | 410 | 385 | 53 | 255 | 89 | 59 | 106 | 369 | 14 | 212 | 74 | 267 | 147","14 → 14 → 53 → 59 → 74 → 89 → 90 → 106 → 115 → 132 → 147 → 159 → 193 → 202 → 209 → 212 → 230 → 255 → 257 → 267 → 297 → 327 → 344 → 369 → 385 → 410 → 422","",""
70,Basic Numbers,Ascending ↑,"Level 70","Sort 28 numbers ASC",28,"192 | 425 | 371 | 59 | 333 | 401 | 215 | 125 | 177 | 342 | 399 | 267 | 213 | 219 | 336 | 105 | 3 | 224 | 260 | 230 | 346 | 305 | 42 | 427 | 106 | 219 | 143 | 410","3 → 42 → 59 → 105 → 106 → 125 → 143 → 177 → 192 → 213 → 215 → 219 → 219 → 224 → 230 → 260 → 267 → 305 → 333 → 336 → 342 → 346 → 371 → 399 → 401 → 410 → 425 → 427","",""
71,Basic Numbers,Descending ↓,"Level 71","Sort 28 numbers DESC",28,"133 | 405 | 399 | 12 | 438 | 415 | 175 | 26 | 42 | 56 | 169 | 191 | 293 | 242 | 109 | 186 | 340 | 263 | 397 | 258 | 420 | 388 | 299 | 413 | 2 | 181 | 106 | 283","438 → 420 → 415 → 413 → 405 → 399 → 397 → 388 → 340 → 299 → 293 → 283 → 263 → 258 → 242 → 191 → 186 → 181 → 175 → 169 → 133 → 109 → 106 → 56 → 42 → 26 → 12 → 2","",""
72,Basic Numbers,Descending ↓,"Level 72","Sort 28 numbers DESC",28,"103 | 321 | 49 | 376 | 382 | 242 | 194 | 237 | 210 | 296 | 383 | 66 | 48 | 440 | 445 | 263 | 52 | 232 | 108 | 176 | 417 | 372 | 98 | 289 | 14 | 98 | 337 | 5","445 → 440 → 417 → 383 → 382 → 376 → 372 → 337 → 321 → 296 → 289 → 263 → 242 → 237 → 232 → 210 → 194 → 176 → 108 → 103 → 98 → 98 → 66 → 52 → 49 → 48 → 14 → 5","",""
73,Basic Numbers,Ascending ↑,"Level 73","Sort 28 numbers ASC",28,"252 | 236 | 177 | 32 | 127 | 103 | 393 | 261 | 460 | 63 | 210 | 317 | 74 | 83 | 457 | 76 | 31 | 364 | 373 | 108 | 68 | 336 | 73 | 1 | 374 | 25 | 409 | 79","1 → 25 → 31 → 32 → 63 → 68 → 73 → 74 → 76 → 79 → 83 → 103 → 108 → 127 → 177 → 210 → 236 → 252 → 261 → 317 → 336 → 364 → 373 → 374 → 393 → 409 → 457 → 460","",""
74,Basic Numbers,Descending ↓,"Level 74","Sort 29 numbers DESC",29,"226 | 149 | 193 | 84 | 203 | 132 | 369 | 240 | 192 | 382 | 258 | 442 | 237 | 237 | 314 | 365 | 412 | 417 | 231 | 310 | 100 | 262 | 316 | 337 | 405 | 172 | 386 | 108 | 287","442 → 417 → 412 → 405 → 386 → 382 → 369 → 365 → 337 → 316 → 314 → 310 → 287 → 262 → 258 → 240 → 237 → 237 → 231 → 226 → 203 → 193 → 192 → 172 → 149 → 132 → 108 → 100 → 84","",""
